arrival gate|到达口
medicine dose|药物剂量
pain relief|止痛药
travel sickness|旅行晕动症
lost property|失物
lost wallet|丢失的钱包
lost phone|丢失的手机
lost passport|丢失的护照
police report|报警记录
emergency contact|紧急联系人
contact number|联系电话
safe route|安全路线
meeting point|集合点
meeting time|集合时间
guided tour|导览游
entrance fee|入场费
opening hours|开放时间
closing time|关闭时间
audio guide|语音导览
photo area|拍照区域
restricted area|限制区域
airport transfer|机场接送
hotel transfer|酒店接送
connecting flight|联程航班
connecting train|联程列车
transfer window|换乘时间
departure delay|出发延误
arrival delay|到达延误
flight change|航班变更
schedule change|时刻变更
seat change|座位变更
name correction|姓名更正
booking confirmation|预订确认
payment confirmation|付款确认
refund confirmation|退款确认
cancellation fee|取消费用
change fee|变更费用
fare difference|票价差额
baggage allowance|行李额度
weight limit|重量限制
size limit|尺寸限制
excess baggage|超额行李
damaged luggage|损坏的行李
missing luggage|遗失的行李
delivery address|配送地址
delivery time|配送时间
claim number|理赔编号
claim form|理赔表格
insurance policy|保险单
travel insurance|旅行保险
medical certificate|医疗证明
doctor's note|医生证明
prescription medicine|处方药
entry visa|入境签证
visa number|签证号码
entry stamp|入境章
exit stamp|出境章
entry requirement|入境要求
customs declaration|海关申报
security check|安全检查
identity check|身份检查
document check|证件检查
rental agreement|租车协议
driving license|驾驶执照
rental deposit|租车押金
fuel policy|燃油政策
damage report|损坏报告
roadside help|道路救援
traffic accident|交通事故
repair shop|修理店
replacement vehicle|替代车辆
booking reference|预订编号
transaction record|交易记录
payment error|付款错误
duplicate charge|重复收费
unauthorized charge|未经授权的收费
written confirmation|书面确认
written response|书面回复
available option|可用选项
alternative route|替代路线
alternative flight|替代航班
alternative hotel|替代酒店
travel disruption|旅行中断
service interruption|服务中断
urgent request|紧急请求
special assistance|特殊协助
wheelchair service|轮椅服务
accessible entrance|无障碍入口
accessible room|无障碍客房
dietary requirement|饮食要求
medical requirement|医疗要求
late departure|延迟出发
early arrival|提前到达
overnight delay|过夜延误
missed connection|错过的衔接行程
rebooking deadline|改签截止时间
refund request|退款申请
refund status|退款状态
seat assignment|座位分配
seat preference|座位偏好
meal preference|餐食偏好
special meal|特殊餐食
boarding priority|优先登机
standby list|候补名单
waiting list|等候名单
departure board|出发信息屏
arrival board|到达信息屏
platform change|站台变更
gate change|登机口变更
terminal change|航站楼变更
route change|路线变更
room change|房间变更
room upgrade|房间升级
seat upgrade|座位升级
free upgrade|免费升级
paid upgrade|付费升级
booking change|预订变更
booking cancellation|取消预订
booking problem|预订问题
payment problem|付款问题
card problem|银行卡问题
cash withdrawal|现金取款
currency exchange|货币兑换
exchange rate|汇率
bank fee|银行手续费
foreign fee|境外手续费
daily limit|每日限额
payment limit|支付限额
deposit amount|押金金额
deposit return|退还押金
room deposit|客房押金
security deposit|保证金
damage deposit|损坏押金
hotel address|酒店地址
pickup address|接车地址
drop-off point|下车点
pickup point|接车点
pickup time|接车时间
drop-off time|还车时间
car rental|汽车租赁
rental counter|租车柜台
rental office|租车门店
rental car|租赁汽车
car key|车钥匙
fuel level|油量
fuel station|加油站
parking space|停车位
parking fee|停车费
toll road|收费公路
toll booth|收费站
speed limit|限速
road closure|道路封闭
traffic delay|交通延误
bus delay|公交延误
train delay|列车延误
service delay|服务延误
service update|服务更新
travel update|旅行动态
weather update|天气动态
safety update|安全动态
travel warning|旅行警告
safety warning|安全警告
medical warning|医疗警告
storm warning|暴风雨警告
emergency exit|紧急出口
emergency stairs|紧急楼梯
emergency shelter|紧急避难所
emergency service|应急服务
ambulance service|救护服务
pharmacy service|药房服务
hospital service|医院服务
insurance number|保险号码
policy number|保单号码
passport number|护照号码
flight number|航班号
train number|车次
bus number|公交线路号
room rate|房价
nightly rate|每晚价格
weekend rate|周末价格
member rate|会员价格
tax amount|税额
total amount|总金额
remaining balance|剩余金额
payment balance|待付金额
room balance|房费余额
checkout date|退房日期
check-in date|入住日期
departure date|出发日期
arrival date|到达日期
travel date|旅行日期
valid date|有效日期
expiry date|到期日期
issue date|签发日期
document number|证件号码
document copy|证件复印件
passport copy|护照复印件
receipt copy|收据复印件
digital copy|电子副本
paper copy|纸质副本
original document|原件
supporting document|辅助证明文件
contact person|联系人
responsible person|负责人
service manager|服务经理
duty manager|值班经理
station manager|车站经理
airline staff|航空公司员工
hotel staff|酒店员工
medical staff|医务人员
security staff|安保人员
customs officer|海关工作人员
immigration officer|入境工作人员
police officer|警察
customer service|客户服务
